COMMENT,kmp_n_39_min_2_max_78_run_ff_000111_111000
SORT_BY,39
78,39
77,39
76,39
75,39
74,39
73,39
72,39
71,39
70,39
69,39
68,39
67,39
66,39
65,39
64,39
63,39
62,39
61,39
60,39
59,39
58,39
57,39
56,39
55,39
54,39
53,39
52,39
51,39
50,39
49,39
48,39
47,39
46,39
45,39
44,39
43,39
42,39
41,39
40,39
39,39
38,39
37,39
36,39
35,39
34,39
33,39
32,39
31,39
30,39
29,39
28,39
27,39
26,39
25,39
24,39
23,39
22,39
21,39
20,39
19,39
18,40
17,41
16,42
15,43
14,44
13,45
12,46
11,47
10,48
9,50
8,53
7,56
6,60
5,66
4,75
3,90
2,120
1,210
