COMMENT,kmp_n_97_min_2_max_194_run_ff_000_111
SORT_BY,97
194,193
193,193
192,193
191,193
190,193
189,193
188,193
187,193
186,193
185,193
184,193
183,193
182,193
181,193
180,193
179,193
178,193
177,193
176,193
175,193
174,193
173,193
172,193
171,193
170,193
169,193
168,193
167,193
166,193
165,193
164,193
163,193
162,193
161,193
160,193
159,193
158,193
157,193
156,193
155,193
154,193
153,193
152,193
151,193
150,193
149,193
148,193
147,193
146,193
145,193
144,193
143,193
142,193
141,193
140,193
139,193
138,193
137,193
136,193
135,193
134,193
133,193
132,193
131,193
130,193
129,193
128,193
127,193
126,193
125,193
124,193
123,193
122,193
121,193
120,193
119,193
118,193
117,193
116,193
115,193
114,193
113,193
112,193
111,193
110,193
109,193
108,193
107,193
106,193
105,193
104,193
103,193
102,193
101,193
100,193
99,193
98,193
97,193
96,193
95,194
94,195
93,196
92,197
91,198
90,199
89,200
88,201
87,202
86,203
85,204
84,205
83,206
82,207
81,208
80,209
79,210
78,211
77,212
76,213
75,214
74,215
73,216
72,217
71,218
70,219
69,220
68,221
67,222
66,223
65,224
64,225
63,226
62,227
61,228
60,229
59,230
58,231
57,232
56,233
55,234
54,235
53,236
52,237
51,238
50,239
49,240
48,241
47,244
46,247
45,250
44,253
43,256
42,259
41,262
40,265
39,268
38,271
37,274
36,277
35,280
34,283
33,286
32,289
31,295
30,301
29,307
28,313
27,319
26,325
25,331
24,337
23,347
22,357
21,367
20,377
19,388
18,403
17,418
16,433
15,454
14,475
13,501
12,529
11,565
10,607
9,658
8,721
7,804
6,913
5,1067
4,1297
3,1681
2,2449
1,4753
