COMMENT,kmp_n_83_min_2_max_166_run_ff_000_111
SORT_BY,83
166,165
165,165
164,165
163,165
162,165
161,165
160,165
159,165
158,165
157,165
156,165
155,165
154,165
153,165
152,165
151,165
150,165
149,165
148,165
147,165
146,165
145,165
144,165
143,165
142,165
141,165
140,165
139,165
138,165
137,165
136,165
135,165
134,165
133,165
132,165
131,165
130,165
129,165
128,165
127,165
126,165
125,165
124,165
123,165
122,165
121,165
120,165
119,165
118,165
117,165
116,165
115,165
114,165
113,165
112,165
111,165
110,165
109,165
108,165
107,165
106,165
105,165
104,165
103,165
102,165
101,165
100,165
99,165
98,165
97,165
96,165
95,165
94,165
93,165
92,165
91,165
90,165
89,165
88,165
87,165
86,165
85,165
84,165
83,165
82,165
81,166
80,167
79,168
78,169
77,170
76,171
75,172
74,173
73,174
72,175
71,176
70,177
69,178
68,179
67,180
66,181
65,182
64,183
63,184
62,185
61,186
60,187
59,188
58,189
57,190
56,191
55,192
54,193
53,194
52,195
51,196
50,197
49,198
48,199
47,200
46,201
45,202
44,203
43,204
42,205
41,206
40,209
39,212
38,215
37,218
36,221
35,224
34,227
33,230
32,233
31,236
30,239
29,242
28,245
27,249
26,255
25,261
24,267
23,273
22,279
21,285
20,293
19,303
18,313
17,323
16,335
15,350
14,365
13,384
12,405
11,431
10,461
9,498
8,545
7,605
6,685
5,797
4,965
3,1245
2,1805
1,3486
