COMMENT,kmp_n_50_min_2_max_100_run_ff_000_111
SORT_BY,50
100,99
99,99
98,99
97,99
96,99
95,99
94,99
93,99
92,99
91,99
90,99
89,99
88,99
87,99
86,99
85,99
84,99
83,99
82,99
81,99
80,99
79,99
78,99
77,99
76,99
75,99
74,99
73,99
72,99
71,99
70,99
69,99
68,99
67,99
66,99
65,99
64,99
63,99
62,99
61,99
60,99
59,99
58,99
57,99
56,99
55,99
54,99
53,99
52,99
51,99
50,99
49,99
48,100
47,101
46,102
45,103
44,104
43,105
42,106
41,107
40,108
39,109
38,110
37,111
36,112
35,113
34,114
33,115
32,116
31,117
30,118
29,119
28,120
27,121
26,122
25,123
24,125
23,128
22,131
21,134
20,137
19,140
18,143
17,146
16,150
15,156
14,162
13,168
12,175
11,185
10,195
9,209
8,225
7,246
6,275
5,315
4,375
3,475
2,675
1,1275
