COMMENT,kmp_n_58_min_2_max_116_run_ff_000_111
SORT_BY,58
116,115
115,115
114,115
113,115
112,115
111,115
110,115
109,115
108,115
107,115
106,115
105,115
104,115
103,115
102,115
101,115
100,115
99,115
98,115
97,115
96,115
95,115
94,115
93,115
92,115
91,115
90,115
89,115
88,115
87,115
86,115
85,115
84,115
83,115
82,115
81,115
80,115
79,115
78,115
77,115
76,115
75,115
74,115
73,115
72,115
71,115
70,115
69,115
68,115
67,115
66,115
65,115
64,115
63,115
62,115
61,115
60,115
59,115
58,115
57,115
56,116
55,117
54,118
53,119
52,120
51,121
50,122
49,123
48,124
47,125
46,126
45,127
44,128
43,129
42,130
41,131
40,132
39,133
38,134
37,135
36,136
35,137
34,138
33,139
32,140
31,141
30,142
29,143
28,145
27,148
26,151
25,154
24,157
23,160
22,163
21,166
20,169
19,172
18,178
17,184
16,190
15,196
14,203
13,213
12,223
11,235
10,250
9,268
8,290
7,319
6,358
5,412
4,493
3,628
2,899
1,1711
