COMMENT,kmp_n_60_min_2_max_120_run_ff_000_111
SORT_BY,60
120,119
119,119
118,119
117,119
116,119
115,119
114,119
113,119
112,119
111,119
110,119
109,119
108,119
107,119
106,119
105,119
104,119
103,119
102,119
101,119
100,119
99,119
98,119
97,119
96,119
95,119
94,119
93,119
92,119
91,119
90,119
89,119
88,119
87,119
86,119
85,119
84,119
83,119
82,119
81,119
80,119
79,119
78,119
77,119
76,119
75,119
74,119
73,119
72,119
71,119
70,119
69,119
68,119
67,119
66,119
65,119
64,119
63,119
62,119
61,119
60,119
59,119
58,120
57,121
56,122
55,123
54,124
53,125
52,126
51,127
50,128
49,129
48,130
47,131
46,132
45,133
44,134
43,135
42,136
41,137
40,138
39,139
38,140
37,141
36,142
35,143
34,144
33,145
32,146
31,147
30,148
29,150
28,153
27,156
26,159
25,162
24,165
23,168
22,171
21,174
20,177
19,182
18,188
17,194
16,200
15,206
14,215
13,225
12,235
11,249
10,264
9,284
8,308
7,339
6,380
5,438
4,525
3,670
2,960
1,1830
