COMMENT,kmp_n_46_min_2_max_92_run_ff_000_111
SORT_BY,46
92,91
91,91
90,91
89,91
88,91
87,91
86,91
85,91
84,91
83,91
82,91
81,91
80,91
79,91
78,91
77,91
76,91
75,91
74,91
73,91
72,91
71,91
70,91
69,91
68,91
67,91
66,91
65,91
64,91
63,91
62,91
61,91
60,91
59,91
58,91
57,91
56,91
55,91
54,91
53,91
52,91
51,91
50,91
49,91
48,91
47,91
46,91
45,91
44,92
43,93
42,94
41,95
40,96
39,97
38,98
37,99
36,100
35,101
34,102
33,103
32,104
31,105
30,106
29,107
28,108
27,109
26,110
25,111
24,112
23,113
22,115
21,118
20,121
19,124
18,127
17,130
16,133
15,136
14,142
13,148
12,154
11,161
10,171
9,181
8,196
7,214
6,238
5,271
4,322
3,406
2,575
1,1081
