COMMENT,kmp_n_96_min_2_max_192_run_ff_001122_112200
SORT_BY,96
192,102
191,102
190,102
189,102
188,102
187,102
186,102
185,102
184,102
183,102
182,102
181,102
180,102
179,102
178,102
177,102
176,102
175,102
174,102
173,102
172,102
171,102
170,102
169,102
168,102
167,102
166,102
165,102
164,102
163,102
162,102
161,102
160,102
159,102
158,102
157,102
156,102
155,102
154,102
153,102
152,102
151,102
150,102
149,102
148,102
147,102
146,102
145,102
144,102
143,102
142,102
141,102
140,102
139,102
138,102
137,102
136,102
135,102
134,102
133,102
132,102
131,102
130,102
129,102
128,102
127,102
126,102
125,102
124,102
123,102
122,102
121,102
120,102
119,102
118,102
117,102
116,102
115,102
114,102
113,102
112,102
111,102
110,102
109,102
108,102
107,102
106,102
105,102
104,102
103,102
102,102
101,102
100,102
99,102
98,102
97,102
96,102
95,102
94,102
93,102
92,102
91,102
90,105
89,106
88,106
87,106
86,107
85,107
84,107
83,107
82,107
81,107
80,107
79,107
78,107
77,107
76,107
75,107
74,107
73,107
72,107
71,107
70,107
69,107
68,107
67,107
66,107
65,107
64,107
63,107
62,107
61,107
60,107
59,107
58,107
57,107
56,107
55,107
54,107
53,107
52,107
51,107
50,107
49,107
48,107
47,107
46,107
45,107
44,107
43,107
42,107
41,107
40,107
39,107
38,107
37,107
36,107
35,107
34,107
33,107
32,107
31,107
30,107
29,107
28,107
27,107
26,107
25,107
24,107
23,107
22,107
21,107
20,107
19,107
18,107
17,107
16,107
15,107
14,107
13,107
12,107
11,107
10,107
9,107
8,108
7,109
6,110
5,111
4,114
3,118
2,127
1,153
