COMMENT,kmp_n_49_min_2_max_98_run_ff_0101_1010
SORT_BY,49
98,73
97,73
96,73
95,73
94,73
93,73
92,73
91,73
90,73
89,73
88,73
87,73
86,73
85,73
84,73
83,73
82,73
81,73
80,73
79,73
78,73
77,73
76,73
75,73
74,73
73,73
72,73
71,73
70,73
69,73
68,73
67,73
66,73
65,73
64,73
63,73
62,73
61,73
60,73
59,73
58,73
57,73
56,73
55,73
54,73
53,73
52,73
51,73
50,73
49,73
48,73
47,73
46,75
45,75
44,77
43,77
42,79
41,79
40,81
39,81
38,83
37,83
36,85
35,85
34,87
33,87
32,89
31,89
30,91
29,91
28,93
27,93
26,95
25,95
24,97
23,97
22,103
21,103
20,109
19,109
18,115
17,115
16,121
15,121
14,133
13,133
12,145
11,145
10,165
9,165
8,193
7,193
6,241
5,241
4,337
3,337
2,625
1,625
