COMMENT,kmp_n_41_min_2_max_82_run_ff_0101_1010
SORT_BY,41
82,61
81,61
80,61
79,61
78,61
77,61
76,61
75,61
74,61
73,61
72,61
71,61
70,61
69,61
68,61
67,61
66,61
65,61
64,61
63,61
62,61
61,61
60,61
59,61
58,61
57,61
56,61
55,61
54,61
53,61
52,61
51,61
50,61
49,61
48,61
47,61
46,61
45,61
44,61
43,61
42,61
41,61
40,61
39,61
38,63
37,63
36,65
35,65
34,67
33,67
32,69
31,69
30,71
29,71
28,73
27,73
26,75
25,75
24,77
23,77
22,79
21,79
20,81
19,81
18,87
17,87
16,93
15,93
14,99
13,99
12,109
11,109
10,121
9,121
8,141
7,141
6,175
5,175
4,241
3,241
2,441
1,441
