COMMENT,kmp_n_57_min_2_max_114_run_ff_000111_111000
SORT_BY,57
114,57
113,57
112,57
111,57
110,57
109,57
108,57
107,57
106,57
105,57
104,57
103,57
102,57
101,57
100,57
99,57
98,57
97,57
96,57
95,57
94,57
93,57
92,57
91,57
90,57
89,57
88,57
87,57
86,57
85,57
84,57
83,57
82,57
81,57
80,57
79,57
78,57
77,57
76,57
75,57
74,57
73,57
72,57
71,57
70,57
69,57
68,57
67,57
66,57
65,57
64,57
63,57
62,57
61,57
60,57
59,57
58,57
57,57
56,57
55,57
54,57
53,57
52,57
51,57
50,57
49,57
48,57
47,57
46,57
45,57
44,57
43,57
42,57
41,57
40,57
39,57
38,57
37,57
36,57
35,57
34,57
33,57
32,57
31,57
30,57
29,57
28,57
27,58
26,59
25,60
24,61
23,62
22,63
21,64
20,65
19,66
18,67
17,68
16,69
15,70
14,71
13,74
12,77
11,80
10,83
9,87
8,93
7,99
6,109
5,122
4,141
3,174
2,239
1,435
