COMMENT,kmp_n_87_min_2_max_174_run_ff_0101_1010
SORT_BY,87
174,130
173,130
172,130
171,130
170,130
169,130
168,130
167,130
166,130
165,130
164,130
163,130
162,130
161,130
160,130
159,130
158,130
157,130
156,130
155,130
154,130
153,130
152,130
151,130
150,130
149,130
148,130
147,130
146,130
145,130
144,130
143,130
142,130
141,130
140,130
139,130
138,130
137,130
136,130
135,130
134,130
133,130
132,130
131,130
130,130
129,130
128,130
127,130
126,130
125,130
124,130
123,130
122,130
121,130
120,130
119,130
118,130
117,130
116,130
115,130
114,130
113,130
112,130
111,130
110,130
109,130
108,130
107,130
106,130
105,130
104,130
103,130
102,130
101,130
100,130
99,130
98,130
97,130
96,130
95,130
94,130
93,130
92,130
91,130
90,130
89,130
88,130
87,130
86,130
85,130
84,132
83,132
82,134
81,134
80,136
79,136
78,138
77,138
76,140
75,140
74,142
73,142
72,144
71,144
70,146
69,146
68,148
67,148
66,150
65,150
64,152
63,152
62,154
61,154
60,156
59,156
58,158
57,158
56,160
55,160
54,162
53,162
52,164
51,164
50,166
49,166
48,168
47,168
46,170
45,170
44,172
43,172
42,176
41,176
40,182
39,182
38,188
37,188
36,194
35,194
34,200
33,200
32,206
31,206
30,212
29,212
28,220
27,220
26,232
25,232
24,244
23,244
22,256
21,256
20,274
19,274
18,294
17,294
16,320
15,320
14,352
13,352
12,396
11,396
10,458
9,458
8,550
7,550
6,704
5,704
4,1012
3,1012
2,1936
1,1936
