COMMENT,kmp_n_76_min_2_max_152_run_ff_000_111
SORT_BY,76
152,151
151,151
150,151
149,151
148,151
147,151
146,151
145,151
144,151
143,151
142,151
141,151
140,151
139,151
138,151
137,151
136,151
135,151
134,151
133,151
132,151
131,151
130,151
129,151
128,151
127,151
126,151
125,151
124,151
123,151
122,151
121,151
120,151
119,151
118,151
117,151
116,151
115,151
114,151
113,151
112,151
111,151
110,151
109,151
108,151
107,151
106,151
105,151
104,151
103,151
102,151
101,151
100,151
99,151
98,151
97,151
96,151
95,151
94,151
93,151
92,151
91,151
90,151
89,151
88,151
87,151
86,151
85,151
84,151
83,151
82,151
81,151
80,151
79,151
78,151
77,151
76,151
75,151
74,152
73,153
72,154
71,155
70,156
69,157
68,158
67,159
66,160
65,161
64,162
63,163
62,164
61,165
60,166
59,167
58,168
57,169
56,170
55,171
54,172
53,173
52,174
51,175
50,176
49,177
48,178
47,179
46,180
45,181
44,182
43,183
42,184
41,185
40,186
39,187
38,188
37,190
36,193
35,196
34,199
33,202
32,205
31,208
30,211
29,214
28,217
27,220
26,223
25,226
24,232
23,238
22,244
21,250
20,256
19,262
18,271
17,281
16,291
15,301
14,316
13,331
12,349
11,370
10,396
9,427
8,466
7,516
6,583
5,676
4,817
3,1051
2,1520
1,2926
