COMMENT,kmp_n_65_min_2_max_130_run_ff_0101_1010
SORT_BY,65
130,97
129,97
128,97
127,97
126,97
125,97
124,97
123,97
122,97
121,97
120,97
119,97
118,97
117,97
116,97
115,97
114,97
113,97
112,97
111,97
110,97
109,97
108,97
107,97
106,97
105,97
104,97
103,97
102,97
101,97
100,97
99,97
98,97
97,97
96,97
95,97
94,97
93,97
92,97
91,97
90,97
89,97
88,97
87,97
86,97
85,97
84,97
83,97
82,97
81,97
80,97
79,97
78,97
77,97
76,97
75,97
74,97
73,97
72,97
71,97
70,97
69,97
68,97
67,97
66,97
65,97
64,97
63,97
62,99
61,99
60,101
59,101
58,103
57,103
56,105
55,105
54,107
53,107
52,109
51,109
50,111
49,111
48,113
47,113
46,115
45,115
44,117
43,117
42,119
41,119
40,121
39,121
38,123
37,123
36,125
35,125
34,127
33,127
32,129
31,129
30,135
29,135
28,141
27,141
26,147
25,147
24,153
23,153
22,159
21,159
20,169
19,169
18,181
17,181
16,193
15,193
14,213
13,213
12,237
11,237
10,271
9,271
8,321
7,321
6,407
5,407
4,577
3,577
2,1089
1,1089
