COMMENT,kmp_n_94_min_2_max_188_run_ff_random
SORT_BY,94
188,94
187,94
186,94
185,94
184,94
183,94
182,94
181,94
180,94
179,94
178,94
177,94
176,94
175,94
174,94
173,94
172,94
171,94
170,94
169,94
168,94
167,94
166,94
165,94
164,94
163,94
162,94
161,94
160,94
159,94
158,94
157,94
156,94
155,94
154,94
153,94
152,94
151,94
150,94
149,94
148,94
147,94
146,94
145,94
144,94
143,94
142,94
141,94
140,94
139,94
138,94
137,94
136,94
135,94
134,94
133,94
132,94
131,94
130,94
129,94
128,94
127,94
126,94
125,94
124,94
123,94
122,94
121,94
120,94
119,94
118,94
117,94
116,94
115,94
114,94
113,94
112,94
111,94
110,94
109,94
108,94
107,94
106,94
105,94
104,94
103,94
102,94
101,94
100,94
99,94
98,94
97,94
96,94
95,94
94,94
93,94
92,94
91,94
90,94
89,94
88,94
87,94
86,94
85,94
84,94
83,94
82,94
81,94
80,94
79,94
78,94
77,94
76,94
75,94
74,94
73,94
72,94
71,94
70,94
69,94
68,94
67,94
66,94
65,94
64,94
63,94
62,94
61,94
60,94
59,95
58,95
57,95
56,95
55,95
54,95
53,95
52,95
51,95
50,95
49,95
48,95
47,95
46,95
45,95
44,95
43,95
42,95
41,95
40,95
39,95
38,95
37,95
36,95
35,96
34,96
33,96
32,97
31,97
30,97
29,97
28,97
27,97
26,98
25,100
24,100
23,101
22,102
21,102
20,102
19,104
18,104
17,104
16,106
15,109
14,110
13,113
12,114
11,117
10,121
9,124
8,127
7,131
6,133
5,142
4,156
3,163
2,186
1,198
