COMMENT,kmp_n_78_min_2_max_156_run_ff_000_111
SORT_BY,78
156,155
155,155
154,155
153,155
152,155
151,155
150,155
149,155
148,155
147,155
146,155
145,155
144,155
143,155
142,155
141,155
140,155
139,155
138,155
137,155
136,155
135,155
134,155
133,155
132,155
131,155
130,155
129,155
128,155
127,155
126,155
125,155
124,155
123,155
122,155
121,155
120,155
119,155
118,155
117,155
116,155
115,155
114,155
113,155
112,155
111,155
110,155
109,155
108,155
107,155
106,155
105,155
104,155
103,155
102,155
101,155
100,155
99,155
98,155
97,155
96,155
95,155
94,155
93,155
92,155
91,155
90,155
89,155
88,155
87,155
86,155
85,155
84,155
83,155
82,155
81,155
80,155
79,155
78,155
77,155
76,156
75,157
74,158
73,159
72,160
71,161
70,162
69,163
68,164
67,165
66,166
65,167
64,168
63,169
62,170
61,171
60,172
59,173
58,174
57,175
56,176
55,177
54,178
53,179
52,180
51,181
50,182
49,183
48,184
47,185
46,186
45,187
44,188
43,189
42,190
41,191
40,192
39,193
38,195
37,198
36,201
35,204
34,207
33,210
32,213
31,216
30,219
29,222
28,225
27,228
26,231
25,236
24,242
23,248
22,254
21,260
20,266
19,273
18,283
17,293
16,303
15,315
14,330
13,345
12,365
11,386
10,414
9,447
8,488
7,540
6,611
5,710
4,858
3,1105
2,1599
1,3081
