COMMENT,kmp_n_96_min_2_max_192_run_ff_0101_1010
SORT_BY,96
192,143
191,143
190,143
189,143
188,143
187,143
186,143
185,143
184,143
183,143
182,143
181,143
180,143
179,143
178,143
177,143
176,143
175,143
174,143
173,143
172,143
171,143
170,143
169,143
168,143
167,143
166,143
165,143
164,143
163,143
162,143
161,143
160,143
159,143
158,143
157,143
156,143
155,143
154,143
153,143
152,143
151,143
150,143
149,143
148,143
147,143
146,143
145,143
144,143
143,143
142,143
141,143
140,143
139,143
138,143
137,143
136,143
135,143
134,143
133,143
132,143
131,143
130,143
129,143
128,143
127,143
126,143
125,143
124,143
123,143
122,143
121,143
120,143
119,143
118,143
117,143
116,143
115,143
114,143
113,143
112,143
111,143
110,143
109,143
108,143
107,143
106,143
105,143
104,143
103,143
102,143
101,143
100,143
99,143
98,143
97,143
96,143
95,143
94,144
93,144
92,146
91,146
90,148
89,148
88,150
87,150
86,152
85,152
84,154
83,154
82,156
81,156
80,158
79,158
78,160
77,160
76,162
75,162
74,164
73,164
72,166
71,166
70,168
69,168
68,170
67,170
66,172
65,172
64,174
63,174
62,176
61,176
60,178
59,178
58,180
57,180
56,182
55,182
54,184
53,184
52,186
51,186
50,188
49,188
48,190
47,190
46,195
45,195
44,201
43,201
42,207
41,207
40,213
39,213
38,219
37,219
36,225
35,225
34,231
33,231
32,237
31,237
30,248
29,248
28,260
27,260
26,272
25,272
24,284
23,284
22,303
21,303
20,323
19,323
18,348
17,348
16,378
15,378
14,419
13,419
12,472
11,472
10,548
9,548
8,660
7,660
6,848
5,848
4,1224
3,1224
2,2352
1,2352
