COMMENT,kmp_n_72_min_2_max_144_run_ff_000111_111000
SORT_BY,72
144,72
143,72
142,72
141,72
140,72
139,72
138,72
137,72
136,72
135,72
134,72
133,72
132,72
131,72
130,72
129,72
128,72
127,72
126,72
125,72
124,72
123,72
122,72
121,72
120,72
119,72
118,72
117,72
116,72
115,72
114,72
113,72
112,72
111,72
110,72
109,72
108,72
107,72
106,72
105,72
104,72
103,72
102,72
101,72
100,72
99,72
98,72
97,72
96,72
95,72
94,72
93,72
92,72
91,72
90,72
89,72
88,72
87,72
86,72
85,72
84,72
83,72
82,72
81,72
80,72
79,72
78,72
77,72
76,72
75,72
74,72
73,72
72,72
71,72
70,72
69,72
68,72
67,72
66,72
65,72
64,72
63,72
62,72
61,72
60,72
59,72
58,72
57,72
56,72
55,72
54,72
53,72
52,72
51,72
50,72
49,72
48,72
47,72
46,72
45,72
44,72
43,72
42,72
41,72
40,72
39,72
38,72
37,72
36,72
35,73
34,74
33,75
32,76
31,77
30,78
29,79
28,80
27,81
26,82
25,83
24,84
23,85
22,86
21,87
20,88
19,89
18,90
17,93
16,96
15,99
14,102
13,105
12,108
11,114
10,120
9,126
8,136
7,147
6,162
5,184
4,216
3,270
2,378
1,702
