COMMENT,kmp_n_44_min_2_max_88_run_ff_000_111
SORT_BY,44
88,87
87,87
86,87
85,87
84,87
83,87
82,87
81,87
80,87
79,87
78,87
77,87
76,87
75,87
74,87
73,87
72,87
71,87
70,87
69,87
68,87
67,87
66,87
65,87
64,87
63,87
62,87
61,87
60,87
59,87
58,87
57,87
56,87
55,87
54,87
53,87
52,87
51,87
50,87
49,87
48,87
47,87
46,87
45,87
44,87
43,87
42,88
41,89
40,90
39,91
38,92
37,93
36,94
35,95
34,96
33,97
32,98
31,99
30,100
29,101
28,102
27,103
26,104
25,105
24,106
23,107
22,108
21,110
20,113
19,116
18,119
17,122
16,125
15,128
14,132
13,138
12,144
11,150
10,159
9,169
8,182
7,198
6,220
5,251
4,297
3,374
2,528
1,990
