COMMENT,kmp_n_48_min_2_max_96_run_ff_random
SORT_BY,48
96,48
95,48
94,48
93,48
92,48
91,48
90,48
89,48
88,48
87,48
86,48
85,48
84,48
83,48
82,48
81,48
80,48
79,48
78,48
77,48
76,48
75,48
74,48
73,48
72,48
71,48
70,48
69,48
68,48
67,48
66,48
65,48
64,48
63,48
62,48
61,48
60,48
59,48
58,48
57,48
56,48
55,48
54,48
53,48
52,48
51,48
50,48
49,48
48,48
47,48
46,48
45,48
44,48
43,48
42,48
41,48
40,48
39,48
38,48
37,48
36,48
35,49
34,49
33,49
32,50
31,50
30,50
29,50
28,50
27,50
26,50
25,51
24,51
23,52
22,52
21,52
20,52
19,53
18,53
17,53
16,54
15,56
14,57
13,59
12,59
11,61
10,62
9,64
8,65
7,68
6,68
5,72
4,81
3,84
2,97
1,103
