COMMENT,kmp_n_95_min_2_max_190_run_ff_000_111
SORT_BY,95
190,189
189,189
188,189
187,189
186,189
185,189
184,189
183,189
182,189
181,189
180,189
179,189
178,189
177,189
176,189
175,189
174,189
173,189
172,189
171,189
170,189
169,189
168,189
167,189
166,189
165,189
164,189
163,189
162,189
161,189
160,189
159,189
158,189
157,189
156,189
155,189
154,189
153,189
152,189
151,189
150,189
149,189
148,189
147,189
146,189
145,189
144,189
143,189
142,189
141,189
140,189
139,189
138,189
137,189
136,189
135,189
134,189
133,189
132,189
131,189
130,189
129,189
128,189
127,189
126,189
125,189
124,189
123,189
122,189
121,189
120,189
119,189
118,189
117,189
116,189
115,189
114,189
113,189
112,189
111,189
110,189
109,189
108,189
107,189
106,189
105,189
104,189
103,189
102,189
101,189
100,189
99,189
98,189
97,189
96,189
95,189
94,189
93,190
92,191
91,192
90,193
89,194
88,195
87,196
86,197
85,198
84,199
83,200
82,201
81,202
80,203
79,204
78,205
77,206
76,207
75,208
74,209
73,210
72,211
71,212
70,213
69,214
68,215
67,216
66,217
65,218
64,219
63,220
62,221
61,222
60,223
59,224
58,225
57,226
56,227
55,228
54,229
53,230
52,231
51,232
50,233
49,234
48,235
47,236
46,239
45,242
44,245
43,248
42,251
41,254
40,257
39,260
38,263
37,266
36,269
35,272
34,275
33,278
32,281
31,285
30,291
29,297
28,303
27,309
26,315
25,321
24,327
23,335
22,345
21,355
20,365
19,375
18,389
17,404
16,419
15,438
14,459
13,483
12,511
11,545
10,585
9,634
8,695
7,774
6,879
5,1026
4,1247
3,1615
2,2351
1,4560
