COMMENT,kmp_n_82_min_2_max_164_run_ff_random
SORT_BY,82
164,82
163,82
162,82
161,82
160,82
159,82
158,82
157,82
156,82
155,82
154,82
153,82
152,82
151,82
150,82
149,82
148,82
147,82
146,82
145,82
144,82
143,82
142,82
141,82
140,82
139,82
138,82
137,82
136,82
135,82
134,82
133,82
132,82
131,82
130,82
129,82
128,82
127,82
126,82
125,82
124,82
123,82
122,82
121,82
120,82
119,82
118,82
117,82
116,82
115,82
114,82
113,82
112,82
111,82
110,82
109,82
108,82
107,82
106,82
105,82
104,82
103,82
102,82
101,82
100,82
99,82
98,82
97,82
96,82
95,82
94,82
93,82
92,82
91,82
90,82
89,82
88,82
87,82
86,82
85,82
84,82
83,82
82,82
81,82
80,82
79,82
78,82
77,82
76,82
75,82
74,82
73,82
72,82
71,82
70,82
69,82
68,82
67,82
66,82
65,82
64,82
63,82
62,82
61,82
60,82
59,83
58,83
57,83
56,83
55,83
54,83
53,83
52,83
51,83
50,83
49,83
48,83
47,83
46,83
45,83
44,83
43,83
42,83
41,83
40,83
39,83
38,83
37,83
36,83
35,84
34,84
33,84
32,85
31,85
30,85
29,85
28,85
27,85
26,85
25,87
24,87
23,88
22,89
21,89
20,89
19,91
18,91
17,91
16,92
15,94
14,95
13,97
12,99
11,102
10,105
9,108
8,110
7,114
6,115
5,122
4,135
3,141
2,160
1,170
