COMMENT,kmp_n_85_min_2_max_170_run_ff_000_111
SORT_BY,85
170,169
169,169
168,169
167,169
166,169
165,169
164,169
163,169
162,169
161,169
160,169
159,169
158,169
157,169
156,169
155,169
154,169
153,169
152,169
151,169
150,169
149,169
148,169
147,169
146,169
145,169
144,169
143,169
142,169
141,169
140,169
139,169
138,169
137,169
136,169
135,169
134,169
133,169
132,169
131,169
130,169
129,169
128,169
127,169
126,169
125,169
124,169
123,169
122,169
121,169
120,169
119,169
118,169
117,169
116,169
115,169
114,169
113,169
112,169
111,169
110,169
109,169
108,169
107,169
106,169
105,169
104,169
103,169
102,169
101,169
100,169
99,169
98,169
97,169
96,169
95,169
94,169
93,169
92,169
91,169
90,169
89,169
88,169
87,169
86,169
85,169
84,169
83,170
82,171
81,172
80,173
79,174
78,175
77,176
76,177
75,178
74,179
73,180
72,181
71,182
70,183
69,184
68,185
67,186
66,187
65,188
64,189
63,190
62,191
61,192
60,193
59,194
58,195
57,196
56,197
55,198
54,199
53,200
52,201
51,202
50,203
49,204
48,205
47,206
46,207
45,208
44,209
43,210
42,211
41,214
40,217
39,220
38,223
37,226
36,229
35,232
34,235
33,238
32,241
31,244
30,247
29,250
28,253
27,259
26,265
25,271
24,277
23,283
22,289
21,295
20,305
19,315
18,325
17,335
16,349
15,364
14,379
13,400
12,421
11,449
10,481
9,520
8,569
7,631
6,715
5,833
4,1009
3,1303
2,1891
1,3655
