COMMENT,kmp_n_44_min_2_max_88_run_ff_random
SORT_BY,44
88,44
87,44
86,44
85,44
84,44
83,44
82,44
81,44
80,44
79,44
78,44
77,44
76,44
75,44
74,44
73,44
72,44
71,44
70,44
69,44
68,44
67,44
66,44
65,44
64,44
63,44
62,44
61,44
60,44
59,44
58,44
57,44
56,44
55,44
54,44
53,44
52,44
51,44
50,44
49,44
48,44
47,44
46,44
45,44
44,44
43,44
42,44
41,44
40,44
39,44
38,44
37,44
36,44
35,45
34,45
33,45
32,46
31,46
30,46
29,46
28,46
27,46
26,46
25,46
24,46
23,47
22,47
21,47
20,47
19,48
18,48
17,48
16,49
15,50
14,51
13,53
12,53
11,53
10,53
9,55
8,57
7,59
6,59
5,60
4,69
3,71
2,81
1,86
