COMMENT,kmp_n_95_min_2_max_190_run_ff_random
SORT_BY,95
190,96
189,96
188,96
187,96
186,96
185,96
184,96
183,96
182,96
181,96
180,96
179,96
178,96
177,96
176,96
175,96
174,96
173,96
172,96
171,96
170,96
169,96
168,96
167,96
166,96
165,96
164,96
163,96
162,96
161,96
160,96
159,96
158,96
157,96
156,96
155,96
154,96
153,96
152,96
151,96
150,96
149,96
148,96
147,96
146,96
145,96
144,96
143,96
142,96
141,96
140,96
139,96
138,96
137,96
136,96
135,96
134,96
133,96
132,96
131,96
130,96
129,96
128,96
127,96
126,96
125,96
124,96
123,96
122,96
121,96
120,96
119,96
118,96
117,96
116,96
115,96
114,96
113,96
112,96
111,96
110,96
109,96
108,96
107,96
106,96
105,96
104,96
103,96
102,96
101,96
100,96
99,96
98,96
97,96
96,96
95,96
94,96
93,96
92,96
91,96
90,96
89,96
88,96
87,96
86,96
85,96
84,96
83,96
82,96
81,96
80,96
79,96
78,96
77,96
76,96
75,96
74,96
73,96
72,96
71,96
70,96
69,96
68,96
67,96
66,96
65,96
64,96
63,96
62,96
61,96
60,96
59,97
58,97
57,97
56,97
55,97
54,97
53,97
52,97
51,97
50,97
49,97
48,97
47,97
46,97
45,97
44,97
43,97
42,97
41,97
40,97
39,97
38,97
37,97
36,97
35,98
34,98
33,98
32,99
31,99
30,99
29,99
28,99
27,99
26,100
25,102
24,102
23,103
22,104
21,104
20,104
19,106
18,106
17,106
16,108
15,111
14,112
13,115
12,116
11,119
10,123
9,126
8,129
7,133
6,135
5,144
4,158
3,165
2,188
1,202
