COMMENT,kmp_n_59_min_2_max_118_run_ff_random
SORT_BY,59
118,59
117,59
116,59
115,59
114,59
113,59
112,59
111,59
110,59
109,59
108,59
107,59
106,59
105,59
104,59
103,59
102,59
101,59
100,59
99,59
98,59
97,59
96,59
95,59
94,59
93,59
92,59
91,59
90,59
89,59
88,59
87,59
86,59
85,59
84,59
83,59
82,59
81,59
80,59
79,59
78,59
77,59
76,59
75,59
74,59
73,59
72,59
71,59
70,59
69,59
68,59
67,59
66,59
65,59
64,59
63,59
62,59
61,59
60,59
59,59
58,59
57,59
56,59
55,59
54,59
53,59
52,59
51,59
50,59
49,59
48,59
47,59
46,59
45,59
44,59
43,59
42,59
41,59
40,59
39,59
38,59
37,59
36,59
35,60
34,60
33,60
32,61
31,61
30,61
29,61
28,61
27,61
26,61
25,62
24,62
23,63
22,63
21,63
20,63
19,65
18,65
17,65
16,66
15,68
14,69
13,71
12,71
11,73
10,75
9,77
8,78
7,82
6,82
5,89
4,99
3,103
2,119
1,125
