COMMENT,kmp_n_97_min_2_max_194_run_ff_random
SORT_BY,97
194,97
193,97
192,97
191,97
190,97
189,97
188,97
187,97
186,97
185,97
184,97
183,97
182,97
181,97
180,97
179,97
178,97
177,97
176,97
175,97
174,97
173,97
172,97
171,97
170,97
169,97
168,97
167,97
166,97
165,97
164,97
163,97
162,97
161,97
160,97
159,97
158,97
157,97
156,97
155,97
154,97
153,97
152,97
151,97
150,97
149,97
148,97
147,97
146,97
145,97
144,97
143,97
142,97
141,97
140,97
139,97
138,97
137,97
136,97
135,97
134,97
133,97
132,97
131,97
130,97
129,97
128,97
127,97
126,97
125,97
124,97
123,97
122,97
121,97
120,97
119,97
118,97
117,97
116,97
115,97
114,97
113,97
112,97
111,97
110,97
109,97
108,97
107,97
106,97
105,97
104,97
103,97
102,97
101,97
100,97
99,97
98,97
97,97
96,97
95,97
94,97
93,97
92,97
91,97
90,97
89,97
88,97
87,97
86,97
85,97
84,97
83,97
82,97
81,97
80,97
79,97
78,97
77,97
76,97
75,97
74,97
73,97
72,97
71,97
70,97
69,97
68,97
67,97
66,97
65,97
64,97
63,97
62,97
61,97
60,97
59,98
58,98
57,98
56,98
55,98
54,98
53,98
52,98
51,98
50,98
49,98
48,98
47,98
46,98
45,98
44,98
43,98
42,98
41,98
40,98
39,98
38,98
37,98
36,98
35,99
34,99
33,99
32,100
31,100
30,100
29,100
28,100
27,100
26,101
25,103
24,103
23,104
22,105
21,105
20,105
19,107
18,107
17,107
16,109
15,112
14,113
13,116
12,117
11,120
10,124
9,127
8,130
7,134
6,136
5,145
4,159
3,166
2,189
1,202
