COMMENT,kmp_n_47_min_2_max_94_run_ff_0101_1010
SORT_BY,47
94,70
93,70
92,70
91,70
90,70
89,70
88,70
87,70
86,70
85,70
84,70
83,70
82,70
81,70
80,70
79,70
78,70
77,70
76,70
75,70
74,70
73,70
72,70
71,70
70,70
69,70
68,70
67,70
66,70
65,70
64,70
63,70
62,70
61,70
60,70
59,70
58,70
57,70
56,70
55,70
54,70
53,70
52,70
51,70
50,70
49,70
48,70
47,70
46,70
45,70
44,72
43,72
42,74
41,74
40,76
39,76
38,78
37,78
36,80
35,80
34,82
33,82
32,84
31,84
30,86
29,86
28,88
27,88
26,90
25,90
24,92
23,92
22,96
21,96
20,102
19,102
18,108
17,108
16,114
15,114
14,124
13,124
12,136
11,136
10,154
9,154
8,180
7,180
6,224
5,224
4,312
3,312
2,576
1,576
