COMMENT,kmp_n_38_min_2_max_76_run_ff_0101_1010
SORT_BY,38
76,56
75,56
74,56
73,56
72,56
71,56
70,56
69,56
68,56
67,56
66,56
65,56
64,56
63,56
62,56
61,56
60,56
59,56
58,56
57,56
56,56
55,56
54,56
53,56
52,56
51,56
50,56
49,56
48,56
47,56
46,56
45,56
44,56
43,56
42,56
41,56
40,56
39,56
38,56
37,56
36,57
35,57
34,59
33,59
32,61
31,61
30,63
29,63
28,65
27,65
26,67
25,67
24,69
23,69
22,71
21,71
20,73
19,73
18,76
17,76
16,82
15,82
14,88
13,88
12,95
11,95
10,107
9,107
8,124
7,124
6,152
5,152
4,209
3,209
2,380
1,380
