COMMENT,kmp_n_48_min_2_max_96_run_ff_0101_1010
SORT_BY,48
96,71
95,71
94,71
93,71
92,71
91,71
90,71
89,71
88,71
87,71
86,71
85,71
84,71
83,71
82,71
81,71
80,71
79,71
78,71
77,71
76,71
75,71
74,71
73,71
72,71
71,71
70,71
69,71
68,71
67,71
66,71
65,71
64,71
63,71
62,71
61,71
60,71
59,71
58,71
57,71
56,71
55,71
54,71
53,71
52,71
51,71
50,71
49,71
48,71
47,71
46,72
45,72
44,74
43,74
42,76
41,76
40,78
39,78
38,80
37,80
36,82
35,82
34,84
33,84
32,86
31,86
30,88
29,88
28,90
27,90
26,92
25,92
24,94
23,94
22,99
21,99
20,105
19,105
18,111
17,111
16,117
15,117
14,128
13,128
12,140
11,140
10,159
9,159
8,186
7,186
6,232
5,232
4,324
3,324
2,600
1,600
