COMMENT,kmp_n_82_min_2_max_164_run_ff_0101_1010
SORT_BY,82
164,122
163,122
162,122
161,122
160,122
159,122
158,122
157,122
156,122
155,122
154,122
153,122
152,122
151,122
150,122
149,122
148,122
147,122
146,122
145,122
144,122
143,122
142,122
141,122
140,122
139,122
138,122
137,122
136,122
135,122
134,122
133,122
132,122
131,122
130,122
129,122
128,122
127,122
126,122
125,122
124,122
123,122
122,122
121,122
120,122
119,122
118,122
117,122
116,122
115,122
114,122
113,122
112,122
111,122
110,122
109,122
108,122
107,122
106,122
105,122
104,122
103,122
102,122
101,122
100,122
99,122
98,122
97,122
96,122
95,122
94,122
93,122
92,122
91,122
90,122
89,122
88,122
87,122
86,122
85,122
84,122
83,122
82,122
81,122
80,123
79,123
78,125
77,125
76,127
75,127
74,129
73,129
72,131
71,131
70,133
69,133
68,135
67,135
66,137
65,137
64,139
63,139
62,141
61,141
60,143
59,143
58,145
57,145
56,147
55,147
54,149
53,149
52,151
51,151
50,153
49,153
48,155
47,155
46,157
45,157
44,159
43,159
42,161
41,161
40,164
39,164
38,170
37,170
36,176
35,176
34,182
33,182
32,188
31,188
30,194
29,194
28,200
27,200
26,209
25,209
24,221
23,221
22,233
21,233
20,246
19,246
18,266
17,266
16,287
15,287
14,317
13,317
12,356
11,356
10,410
9,410
8,492
7,492
6,629
5,629
4,902
3,902
2,1722
1,1722
