COMMENT,kmp_n_52_min_2_max_104_run_ff_0101_1010
SORT_BY,52
104,77
103,77
102,77
101,77
100,77
99,77
98,77
97,77
96,77
95,77
94,77
93,77
92,77
91,77
90,77
89,77
88,77
87,77
86,77
85,77
84,77
83,77
82,77
81,77
80,77
79,77
78,77
77,77
76,77
75,77
74,77
73,77
72,77
71,77
70,77
69,77
68,77
67,77
66,77
65,77
64,77
63,77
62,77
61,77
60,77
59,77
58,77
57,77
56,77
55,77
54,77
53,77
52,77
51,77
50,78
49,78
48,80
47,80
46,82
45,82
44,84
43,84
42,86
41,86
40,88
39,88
38,90
37,90
36,92
35,92
34,94
33,94
32,96
31,96
30,98
29,98
28,100
27,100
26,102
25,102
24,107
23,107
22,113
21,113
20,119
19,119
18,125
17,125
16,134
15,134
14,146
13,146
12,161
11,161
10,182
9,182
8,215
7,215
6,269
5,269
4,377
3,377
2,702
1,702
