COMMENT,kmp_n_46_min_2_max_92_run_ff_0101_1010
SORT_BY,46
92,68
91,68
90,68
89,68
88,68
87,68
86,68
85,68
84,68
83,68
82,68
81,68
80,68
79,68
78,68
77,68
76,68
75,68
74,68
73,68
72,68
71,68
70,68
69,68
68,68
67,68
66,68
65,68
64,68
63,68
62,68
61,68
60,68
59,68
58,68
57,68
56,68
55,68
54,68
53,68
52,68
51,68
50,68
49,68
48,68
47,68
46,68
45,68
44,69
43,69
42,71
41,71
40,73
39,73
38,75
37,75
36,77
35,77
34,79
33,79
32,81
31,81
30,83
29,83
28,85
27,85
26,87
25,87
24,89
23,89
22,92
21,92
20,98
19,98
18,104
17,104
16,110
15,110
14,119
13,119
12,131
11,131
10,148
9,148
8,173
7,173
6,215
5,215
4,299
3,299
2,552
1,552
